iter	Passed	Remaining
674	13475	26451
675	13505	26451
676	13533	26446
677	13562	26445
678	13592	26443
679	13619	26437
680	13645	26430
681	13674	26426
682	13701	26419
683	13729	26415
684	13763	26422
685	13794	26422
686	13826	26424
687	13853	26418
688	13881	26412
689	13909	26407
690	13936	26400
691	13964	26395
692	13992	26389
693	14024	26391
694	14048	26379
695	14074	26369
696	14102	26363
697	14129	26356
698	14159	26354
699	14187	26348
700	14216	26343
701	14244	26338
702	14272	26332
703	14302	26329
704	14330	26323
705	14359	26318
706	14387	26312
707	14415	26306
708	14442	26298
709	14473	26296
710	14502	26291
711	14533	26290
712	14591	26337
713	14652	26390
714	14699	26418
715	14733	26421
716	14761	26414
717	14790	26408
718	14817	26398
719	14846	26393
720	14873	26384
721	14900	26375
722	14928	26367
723	14958	26362
724	14983	26350
725	15010	26341
726	15037	26331
727	15057	26308
728	15069	26273
729	15080	26235
730	15090	26196
731	15100	26158
732	15111	26120
733	15121	26082
734	15131	26043
735	15141	26004
736	15151	25964
737	15160	25925
738	15170	25886
739	15179	25846
740	15188	25806
741	15198	25767
742	15207	25728
743	15216	25688
744	15225	25648
745	15235	25609
746	15243	25569
747	15253	25531
748	15261	25490
749	15270	25450
750	15279	25410
751	15288	25371
752	15296	25332
753	15306	25293
754	15314	25254
755	15323	25215
756	15333	25177
757	15341	25138
758	15350	25099
759	15359	25060
760	15369	25022
761	15377	24983
762	15386	24945
763	15394	24905
764	15403	24867
765	15412	24828
766	15420	24789
767	15429	24750
768	15437	24712
769	15445	24673
770	15454	24634
771	15463	24597
772	15471	24558
773	15479	24519
774	15487	24480
775	15496	24442
776	15504	24404
777	15513	24366
778	15521	24328
779	15530	24291
780	15538	24253
781	15547	24215
782	15555	24177
783	15563	24138
784	15571	24101
785	15580	24064
786	15588	24026
787	15597	23989
788	15605	23952
789	15614	23915
790	15622	23878
791	15630	23841
792	15639	23803
793	15647	23767
794	15655	23730
795	15664	23693
796	15672	23655
797	15681	23619
798	15689	23582
799	15698	23547
800	15705	23509
801	15714	23473
802	15722	23436
803	15730	23400
804	15738	23363
805	15746	23326
806	15754	23290
807	15763	23255
808	15771	23218
809	15780	23183
810	15788	23147
811	15796	23111
812	15804	23075
813	15813	23040
814	15821	23004
815	15830	22969
816	15838	22934
817	15846	22898
818	15854	22862
819	15862	22826
820	15871	22791
821	15879	22757
822	15889	22724
823	15898	22690
824	15908	22657
825	15917	22623
826	15926	22590
827	15935	22556
828	15945	22523
829	15955	22491
830	15964	22458
831	15973	22424
832	15982	22391
833	15991	22357
834	16000	22324
835	16010	22291
836	16019	22258
837	16028	22225
838	16037	22192
839	16046	22159
840	16056	22127
841	16065	22094
842	16074	22061
843	16082	22028
844	16091	21994
845	16100	21961
846	16108	21928
847	16117	21895
848	16125	21862
849	16134	21828
850	16142	21795
851	16151	21762
852	16160	21730
853	16170	21699
854	16179	21666
855	16188	21634
856	16196	21602
857	16205	21569
858	16214	21537
859	16223	21505
860	16231	21472
861	16240	21440
862	16249	21408
863	16258	21376
864	16266	21344
865	16274	21311
866	16283	21279
867	16291	21246
868	16299	21214
869	16308	21182
870	16317	21150
871	16325	21118
872	16334	21087
873	16343	21056
874	16352	21024
875	16360	20992
876	16369	20960
877	16377	20929
878	16386	20897
879	16394	20865
880	16402	20834
881	16412	20803
882	16420	20772
883	16430	20742
884	16438	20710
885	16447	20679
886	16455	20648
887	16465	20618
888	16473	20587
889	16482	20557
890	16491	20526
891	16499	20495
892	16508	20465
893	16516	20433
894	16525	20403
895	16534	20372
896	16542	20342
897	16551	20311
898	16560	20281
899	16569	20251
900	16578	20222
901	16587	20192
902	16596	20162
903	16605	20131
904	16613	20101
905	16622	20071
906	16630	20041
907	16639	20011
908	16647	19981
909	16656	19951
910	16665	19921
911	16674	19892
912	16682	19862
913	16698	19840
914	16712	19817
915	16726	19794
916	16740	19770
917	16752	19745
918	16763	19717
919	16771	19688
920	16781	19660
921	16790	19631
922	16800	19603
923	16809	19575
924	16818	19545
925	16827	19517
926	16836	19487
927	16845	19459
928	16854	19430
929	16863	19402
930	16872	19373
931	16881	19344
932	16889	19315
933	16898	19286
934	16906	19257
935	16915	19228
936	16925	19200
937	16933	19171
938	16942	19143
939	16950	19114
940	16960	19087
941	16968	19058
942	16977	19030
943	16985	19001
944	16993	18972
945	17003	18944
946	17011	18915
947	17020	18887
948	17028	18858
949	17037	18830
950	17045	18802
951	17055	18775
952	17063	18746
953	17072	18718
954	17081	18690
955	17090	18663
956	17099	18635
957	17107	18607
958	17115	18579
959	17124	18551
960	17132	18523
961	17141	18495
962	17150	18467
963	17158	18440
964	17166	18412
965	17175	18384
966	17185	18358
967	17195	18331
968	17204	18305
969	17213	18278
970	17222	18251
971	17232	18225
972	17241	18198
973	17251	18172
974	17260	18146
975	17271	18120
976	17280	18093
977	17289	18067
978	17298	18041
979	17307	18014
980	17317	17988
981	17326	17961
982	17335	17934
983	17343	17907
984	17353	17882
985	17363	17856
986	17371	17829
987	17380	17802
988	17389	17775
989	17397	17749
990	17406	17722
991	17415	17696
992	17423	17669
993	17433	17644
994	17442	17617
995	17451	17591
996	17459	17564
997	17468	17538
998	17477	17512
999	17486	17486
1000	17494	17460
1001	17503	17433
1002	17512	17407
1003	17520	17380
1004	17528	17354
1005	17537	17328
1006	17546	17302
1007	17554	17275
1008	17563	17249
1009	17571	17223
1010	17579	17197
1011	17587	17170
1012	17596	17144
1013	17604	17118
1014	17612	17092
1015	17621	17066
1016	17629	17039
1017	17637	17013
1018	17645	16987
1019	17654	16961
1020	17662	16935
1021	17670	16909
1022	17678	16883
1023	17686	16857
1024	17695	16832
1025	17703	16806
1026	17711	16780
1027	17720	16754
1028	17729	16729
1029	17737	16704
1030	17747	16680
1031	17756	16655
1032	17765	16630
1033	17773	16604
1034	17782	16579
1035	17792	16555
1036	17800	16530
1037	17810	16506
1038	17818	16480
1039	17827	16456
1040	17836	16431
1041	17845	16407
1042	17856	16383
1043	17865	16359
1044	17875	16335
1045	17884	16311
1046	17893	16286
1047	17902	16262
1048	17912	16238
1049	17922	16215
1050	17931	16191
1051	17941	16167
1052	17949	16142
1053	17958	16118
1054	17967	16094
1055	17976	16070
1056	17986	16046
1057	17996	16023
1058	18005	15999
1059	18014	15975
1060	18024	15951
1061	18032	15927
1062	18041	15903
1063	18050	15878
1064	18059	15854
1065	18068	15830
1066	18077	15806
1067	18085	15782
1068	18094	15758
1069	18102	15733
1070	18112	15711
1071	18121	15687
1072	18130	15663
1073	18140	15640
1074	18148	15616
1075	18157	15592
1076	18165	15568
1077	18174	15544
1078	18182	15520
1079	18191	15496
1080	18199	15472
1081	18208	15448
1082	18215	15423
1083	18224	15399
1084	18232	15375
1085	18241	15352
1086	18249	15328
1087	18259	15305
1088	18268	15282
1089	18277	15259
1090	18286	15235
1091	18294	15211
1092	18303	15188
1093	18311	15165
1094	18321	15142
1095	18330	15118
1096	18339	15096
1097	18347	15072
1098	18355	15048
1099	18363	15024
1100	18372	15002
1101	18381	14978
1102	18390	14956
1103	18399	14932
1104	18408	14909
1105	18417	14886
1106	18425	14863
1107	18434	14840
1108	18443	14817
1109	18452	14795
1110	18461	14772
1111	18470	14749
1112	18478	14726
1113	18488	14704
1114	18496	14681
1115	18505	14658
1116	18514	14636
1117	18524	14614
1118	18534	14592
1119	18542	14569
1120	18551	14546
1121	18560	14523
1122	18569	14501
1123	18577	14478
1124	18587	14456
1125	18595	14433
1126	18604	14411
1127	18613	14389
1128	18621	14366
1129	18631	14344
1130	18639	14321
1131	18648	14299
1132	18657	14277
1133	18666	14254
1134	18674	14231
1135	18683	14209
1136	18692	14187
1137	18701	14165
1138	18710	14143
1139	18718	14120
1140	18727	14098
1141	18735	14076
1142	18744	14054
1143	18753	14032
1144	18763	14010
1145	18771	13988
1146	18780	13966
1147	18788	13944
1148	18798	13922
1149	18806	13900
1150	18815	13878
1151	18824	13856
1152	18833	13834
1153	18841	13813
1154	18851	13791
1155	18861	13770
1156	18870	13749
1157	18880	13728
1158	18889	13706
1159	18899	13685
1160	18910	13665
1161	18919	13644
1162	18929	13623
1163	18938	13602
1164	18948	13581
1165	18958	13560
1166	18967	13539
1167	18977	13518
1168	18986	13496
1169	18996	13476
1170	19007	13456
1171	19016	13434
1172	19026	13414
1173	19035	13392
1174	19044	13371
1175	19053	13350
1176	19062	13329
1177	19072	13308
1178	19081	13287
1179	19091	13266
1180	19100	13245
1181	19109	13224
1182	19118	13203
1183	19127	13182
1184	19137	13161
1185	19146	13140
1186	19155	13120
1187	19164	13098
1188	19173	13078
1189	19181	13056
1190	19190	13035
1191	19198	13014
1192	19208	12993
1193	19216	12972
1194	19225	12951
1195	19234	12930
1196	19243	12909
1197	19252	12888
1198	19262	12868
1199	19271	12847
1200	19280	12826
1201	19288	12805
1202	19297	12784
1203	19305	12763
1204	19315	12743
1205	19323	12722
1206	19332	12701
1207	19340	12680
1208	19349	12659
1209	19357	12638
1210	19366	12618
1211	19375	12596
1212	19383	12576
1213	19392	12555
1214	19401	12534
1215	19409	12513
1216	19417	12493
1217	19425	12472
1218	19434	12451
1219	19442	12430
1220	19451	12410
1221	19460	12389
1222	19468	12369
1223	19478	12349
1224	19486	12328
1225	19495	12308
1226	19504	12287
1227	19513	12267
1228	19521	12246
1229	19530	12226
1230	19538	12205
1231	19547	12185
1232	19555	12164
1233	19564	12144
1234	19572	12123
1235	19581	12103
1236	19588	12082
1237	19603	12066
1238	19617	12049
1239	19631	12032
1240	19640	12012
1241	19651	11993
1242	19660	11973
1243	19668	11952
1244	19677	11932
1245	19686	11912
1246	19694	11892
1247	19703	11872
1248	19711	11852
1249	19720	11832
1250	19728	11812
1251	19736	11791
1252	19745	11771
1253	19753	11751
1254	19761	11731
1255	19769	11710
1256	19778	11690
1257	19786	11670
1258	19794	11650
1259	19803	11630
1260	19811	11610
1261	19820	11590
1262	19829	11570
1263	19837	11551
1264	19846	11531
1265	19855	11512
1266	19864	11492
1267	19873	11472
1268	19881	11452
1269	19890	11433
1270	19898	11413
1271	19907	11393
1272	19915	11373
1273	19924	11353
1274	19932	11334
1275	19942	11315
1276	19951	11295
1277	19960	11276
1278	19969	11257
1279	19977	11237
1280	19986	11218
1281	19994	11198
1282	20003	11178
1283	20011	11159
1284	20020	11140
1285	20029	11120
1286	20037	11100
1287	20045	11081
1288	20053	11061
1289	20062	11042
1290	20070	11022
1291	20078	11002
1292	20087	10983
1293	20095	10963
1294	20103	10944
1295	20112	10925
1296	20121	10906
1297	20129	10886
1298	20137	10867
1299	20146	10848
1300	20154	10828
1301	20162	10809
1302	20170	10789
1303	20179	10770
1304	20187	10751
1305	20196	10732
1306	20204	10712
1307	20211	10693
1308	20220	10673
1309	20228	10654
1310	20236	10635
1311	20245	10616
1312	20253	10597
1313	20261	10577
1314	20269	10558
1315	20276	10539
1316	20285	10520
